Value,Marker,Option
Bath,Flat,0
Beverley,Flat,0
Brighton,Flat,0
Chelmsford (AW),Flat,0
Chester,Flat,0
Epsom,Flat,0
Goodwood,Flat,0
Yarmouth,Flat,0
Hamilton,Flat,0
Newmarket,Flat,0
Nottingham,Flat,0
Pontefract,Flat,0
Redcar,Flat,0
Ripon,Flat,0
Salisbury,Flat,0
Thirsk,Flat,0
Windsor,Flat,0
Wolverhampton (AW),Flat,0
York,Flat,0
Laytown,Flat,0
Curragh,Flat,0
Kempton (AW),Flat,1
Lingfield (AW),Flat,1
Wolverhampton (AW),Flat,1
Dundalk (AW),Flat,1
Newcastle (AW),Flat,1
Chelmsford (AW),Flat,1
Southwell (AW),Flat,1
Aintree,Jumps,0
Bangor (Bangor On Dee),Jumps,0
Cartmel,Jumps,0
Cheltenham,Jumps,0
Exeter,Jumps,0
Fakenham,Jumps,0
Fontwell,Jumps,0
Hereford,Jumps,0
Hexham,Jumps,0
Huntningdon,Jumps,0
Kelso,Jumps,0
Ludlow,Jumps,0
Market Rasen,Jumps,0
Newton Abbot,Jumps,0
Perth,Jumps,0
Plumpton,Jumps,0
Sedgefield,Jumps,0
Stratford (Stratford On Avon),Jumps,0
Taunton,Jumps,0
Uttoxeter,Jumps,0
Warwick,Jumps,0
Wincanton,Jumps,0
Worcester,Jumps,0
Downpatrick,Jumps,0
Kilbeggan,Jumps,0
