Column,Logic
track,in
country,in
time,=
race_title,like
race_name,like
race_class,=
handicap_rating,like
age_class,like
distance_mls,=
distance,=
going,in
total_runners,=
winning_time,=
winning_timevar,=
total_sp,=
position,in
row_index,=
draw,=
horse_name,in
horse_country,in
price_decimal,=
price_fraction,like
price_symbol,in
horse_age,in
birth_year,=
horse_weight,=
dist_upper,=
dist_beaten,=
racecard_number,=
horse_or,=
horse_ts,=
horse_rpr,=
horse_jockey,in
horse_trainer,in
color,in
sex,in
sire,in
dam,in
damsire,in
price_var,like
headgear,like
wind_12,=
prize,like
