Venues,Country Code
ballinrobe,Ireland
bellewstown,Ireland
clonmel,Ireland
cork,Ireland
curragh,Ireland
downpatrick,Ireland
down-royal,Ireland
dundalk,Ireland
dundalk-aw,Ireland
fairyhouse,Ireland
galway,Ireland
gowran-park,Ireland
kilbeggan,Ireland
killarney,Ireland
laytown,Ireland
leopardstown,Ireland
limerick,Ireland
listowel,Ireland
naas,Ireland
navan,Ireland
punchestown,Ireland
roscommon,Ireland
sligo,Ireland
thurles,Ireland
tipperary,Ireland
tramore,Ireland
wexford,Ireland
wexford-rh,Ireland
aintree,UK
ascot,UK
ayr,UK
bangor-on-dee,UK
bath,UK
beverley,UK
brighton,UK
carlisle,UK
cartmel,UK
catterick,UK
chelmsford-aw,UK
cheltenham,UK
chepstow,UK
chester,UK
doncaster,UK
epsom,UK
exeter,UK
fakenham,UK
ffos-las,UK
folkestone,UK
fontwell,UK
goodwood,UK
hamilton,UK
haydock,UK
hereford,UK
hexham,UK
huntingdon,UK
kelso,UK
kempton,UK
kempton-aw,UK
leicester,UK
lingfield,UK
lingfield-aw,UK
ludlow,UK
market-rasen,UK
musselburgh,UK
newbury,UK
newcastle,UK
newcastle-aw,UK
newmarket,UK
newmarket-july,UK
newton-abbot,UK
nottingham,UK
perth,UK
plumpton,UK
pontefract,UK
redcar,UK
ripon,UK
salisbury,UK
sandown,UK
sedgefield,UK
southwell,UK
southwell-aw,UK
stratford,UK
taunton,UK
thirsk,UK
towcester,UK
uttoxeter,UK
warwick,UK
wetherby,UK
wincanton,UK
windsor,UK
wolverhampton,UK
wolverhampton-aw,UK
worcester,UK
yarmouth,UK
york,UK
